id,country,gender,device,group,converted,total_spent,join_date
1009288,BRA,Female,Iphone,B,TRUE,"$1,094.80",1/25/2023
1001037,USA,Female,Iphone,B,TRUE,$879.10,1/31/2023
1023745,BRA,Female,Iphone,B,TRUE,$872.90,2/3/2023
1025097,GBR,Female,Android,B,TRUE,$836.68,1/28/2023
1017574,BRA,Female,Android,B,TRUE,$831.60,1/29/2023
1016433,MEX,Female,Iphone,B,TRUE,$765.10,2/5/2023
1013863,USA,Female,Android,B,TRUE,$761.10,1/31/2023
1038098,MEX,Female,Android,B,TRUE,$579.10,1/28/2023
1027401,USA,Female,Iphone,B,TRUE,$425.90,1/25/2023
1048541,GBR,Female,Android,B,TRUE,$375.80,1/26/2023
1021115,TUR,Female,Iphone,B,TRUE,$272.97,1/28/2023
1042424,USA,Female,Android,B,TRUE,$262.29,2/3/2023
1035052,DEU,Female,Iphone,B,TRUE,$248.97,1/25/2023
1014183,USA,Female,Android,B,TRUE,$247.92,1/25/2023
1047128,USA,Female,Iphone,B,TRUE,$237.01,1/29/2023
1041343,ESP,Female,Iphone,B,TRUE,$228.20,1/25/2023
1006290,ESP,Female,Iphone,B,TRUE,$215.99,1/26/2023
1029758,MEX,Female,Iphone,B,TRUE,$201.96,1/28/2023
1011339,DEU,Female,Android,B,TRUE,$201.66,1/27/2023
1019139,CAN,Female,Iphone,B,TRUE,$198.60,1/27/2023
1004133,TUR,Female,Android,B,TRUE,$190.37,1/26/2023
1035018,MEX,Female,Iphone,B,TRUE,$188.95,1/30/2023
1045347,GBR,Female,Iphone,B,TRUE,$188.52,1/26/2023
1044066,USA,Female,Iphone,B,TRUE,$185.26,1/27/2023
1019209,GBR,Female,Iphone,B,TRUE,$180.92,1/25/2023
1003440,USA,Female,Iphone,B,TRUE,$172.96,2/1/2023
1025283,AUS,Female,Iphone,B,TRUE,$164.58,1/29/2023
1042411,USA,Female,Iphone,B,TRUE,$162.86,1/27/2023
1020700,USA,Female,Android,B,TRUE,$161.94,1/28/2023
1004078,USA,Female,Android,B,TRUE,$160.82,1/27/2023
1047770,DEU,Female,Android,B,TRUE,$160.31,1/31/2023
1024176,MEX,Female,Iphone,B,TRUE,$156.46,2/5/2023
1027837,USA,Female,Android,B,TRUE,$155.15,1/27/2023
1018562,MEX,Female,Iphone,B,TRUE,$154.70,2/1/2023
1011746,BRA,Female,Android,B,TRUE,$154.22,1/31/2023
1041445,AUS,Female,Android,B,TRUE,$153.55,1/27/2023
1008885,CAN,Female,Android,B,TRUE,$152.41,1/25/2023
1030319,TUR,Female,Iphone,B,TRUE,$148.00,1/25/2023
1045058,USA,Female,Iphone,B,TRUE,$146.78,1/25/2023
1044992,n/a,Female,Iphone,B,TRUE,$139.33,1/26/2023
1001962,MEX,Female,Android,B,TRUE,$138.38,1/27/2023
1019808,MEX,Female,Android,B,TRUE,$137.73,1/27/2023
1027512,USA,Female,Android,B,TRUE,$135.66,1/29/2023
1008392,USA,Female,Android,B,TRUE,$135.50,1/26/2023
1003061,USA,Female,Iphone,B,TRUE,$135.31,1/26/2023
1020275,TUR,Female,Iphone,B,TRUE,$134.49,1/25/2023
1043711,USA,Female,Android,B,TRUE,$134.19,1/27/2023
1014150,BRA,Female,Iphone,B,TRUE,$131.33,2/6/2023
1036549,USA,Female,Android,B,TRUE,$130.07,1/26/2023
1023987,USA,Female,Iphone,B,TRUE,$128.66,1/29/2023
1017694,USA,Female,Android,B,TRUE,$126.78,1/25/2023
1001501,BRA,Female,Android,B,TRUE,$126.67,2/3/2023
1033981,GBR,Female,Android,B,TRUE,$126.51,1/26/2023
1009254,USA,Female,Iphone,B,TRUE,$125.90,1/29/2023
1038733,MEX,Female,Android,B,TRUE,$125.78,2/1/2023
1047635,DEU,Female,Android,B,TRUE,$125.30,1/30/2023
1049729,USA,Female,Android,B,TRUE,$122.73,1/25/2023
1001827,USA,Female,Iphone,B,TRUE,$122.48,1/31/2023
1000937,GBR,Female,n/a,B,TRUE,$122.28,1/27/2023
1034831,USA,Female,Android,B,TRUE,$121.52,1/25/2023
1046160,TUR,Female,Iphone,B,TRUE,$121.41,2/5/2023
1029235,CAN,Female,Android,B,TRUE,$121.26,2/2/2023
1046450,MEX,Female,Iphone,B,TRUE,$120.68,1/28/2023
1016262,DEU,Female,Android,B,TRUE,$119.85,1/28/2023
1005045,FRA,Female,Android,B,TRUE,$119.72,2/6/2023
1006366,MEX,Female,Iphone,B,TRUE,$116.95,1/28/2023
1010625,USA,Female,Android,B,TRUE,$116.40,1/25/2023
1027543,DEU,Female,Android,B,TRUE,$116.40,1/25/2023
1004897,BRA,Female,Iphone,B,TRUE,$116.22,1/29/2023
1030815,MEX,Female,Iphone,B,TRUE,$116.19,1/25/2023
1044072,USA,Female,Iphone,B,TRUE,$114.80,1/25/2023
1023700,ESP,Female,Iphone,B,TRUE,$114.17,1/31/2023
1005593,GBR,Female,Iphone,B,TRUE,$114.15,1/25/2023
1015640,DEU,Female,Android,B,TRUE,$112.49,2/4/2023
1002751,BRA,Female,Iphone,B,TRUE,$111.81,1/26/2023
1026141,USA,Female,Iphone,B,TRUE,$111.63,1/28/2023
1031823,MEX,Female,Iphone,B,TRUE,$111.57,1/28/2023
1016532,USA,Female,Android,B,TRUE,$111.43,1/26/2023
1001833,BRA,Female,Android,B,TRUE,$111.02,1/29/2023
1044839,USA,Female,Iphone,B,TRUE,$110.70,2/2/2023
1016124,ESP,Female,Android,B,TRUE,$110.66,1/28/2023
1008410,MEX,Female,Iphone,B,TRUE,$110.19,1/29/2023
1013944,USA,Female,Android,B,TRUE,$110.15,1/27/2023
1046264,CAN,Female,Android,B,TRUE,$109.60,2/1/2023
1017400,USA,Female,Android,B,TRUE,$107.98,1/25/2023
1014608,USA,Female,Android,B,TRUE,$107.89,1/25/2023
1010394,MEX,Female,Android,B,TRUE,$107.22,1/31/2023
1025044,MEX,Female,Iphone,B,TRUE,$106.30,1/26/2023
1028154,USA,Female,Iphone,B,TRUE,$105.69,1/29/2023
1037141,FRA,Female,Android,B,TRUE,$105.19,1/27/2023
1040474,MEX,Female,Android,B,TRUE,$104.86,1/26/2023
1012178,MEX,Female,Iphone,B,TRUE,$104.85,1/25/2023
1035953,FRA,Female,Iphone,B,TRUE,$104.70,1/25/2023
1007619,FRA,Female,Android,B,TRUE,$104.65,1/27/2023
1027602,GBR,Female,Iphone,B,TRUE,$103.23,1/27/2023
1021165,TUR,Female,Iphone,B,TRUE,$102.04,1/25/2023
1026581,GBR,Female,Android,B,TRUE,$101.56,1/31/2023
1047459,ESP,Female,Iphone,B,TRUE,$100.72,1/28/2023
1006127,USA,Female,Iphone,B,TRUE,$100.34,1/25/2023
1008546,USA,Female,Iphone,B,TRUE,$99.41,1/25/2023
1047007,USA,Female,Iphone,B,TRUE,$99.13,1/30/2023
1007038,ESP,Female,Android,B,TRUE,$99.02,1/31/2023
1043573,TUR,Female,Android,B,TRUE,$97.69,1/26/2023
1039797,GBR,Female,Android,B,TRUE,$97.49,1/26/2023
1030647,USA,Female,Android,B,TRUE,$97.33,1/25/2023
1035289,FRA,Female,Android,B,TRUE,$96.56,2/3/2023
1016063,GBR,Female,Iphone,B,TRUE,$96.46,2/3/2023
1039274,TUR,Female,Android,B,TRUE,$96.09,1/25/2023
1049315,BRA,Female,Android,B,TRUE,$96.08,1/25/2023
1044458,USA,Female,Android,B,TRUE,$95.93,1/25/2023
1024162,USA,Female,Iphone,B,TRUE,$95.39,1/30/2023
1012662,BRA,Female,Iphone,B,TRUE,$95.02,1/28/2023
1017718,n/a,Female,Iphone,B,TRUE,$94.41,1/26/2023
1021929,TUR,Female,Iphone,B,TRUE,$94.16,1/27/2023
1047003,USA,Female,Android,B,TRUE,$94.07,2/3/2023
1003914,ESP,Female,Iphone,B,TRUE,$93.94,1/25/2023
1036427,USA,Female,Iphone,B,TRUE,$93.88,1/25/2023
1027368,BRA,Female,Android,B,TRUE,$93.83,1/29/2023
1044844,MEX,Female,Iphone,B,TRUE,$93.78,1/25/2023
1030735,BRA,Female,Android,B,TRUE,$92.85,1/26/2023
1002873,DEU,Female,Iphone,B,TRUE,$92.72,2/1/2023
1042697,BRA,Female,Iphone,B,TRUE,$92.64,1/26/2023
1029937,USA,Female,Iphone,B,TRUE,$92.09,1/25/2023
1018884,MEX,Female,Iphone,B,TRUE,$91.96,1/27/2023
1010915,FRA,Female,Iphone,B,TRUE,$91.49,1/26/2023
1003168,USA,Female,Iphone,B,TRUE,$91.16,1/29/2023
1037243,BRA,Female,Android,B,TRUE,$91.16,1/27/2023
1023134,TUR,Female,Android,B,TRUE,$90.69,1/30/2023
1025481,USA,Female,Android,B,TRUE,$90.06,1/26/2023
1038528,CAN,Female,Android,B,TRUE,$89.39,1/30/2023
1042423,MEX,Female,Android,B,TRUE,$89.24,1/28/2023
1036693,USA,Female,Android,B,TRUE,$88.96,1/25/2023
1009242,ESP,Female,Iphone,B,TRUE,$88.94,1/30/2023
1014039,USA,Female,Android,B,TRUE,$88.66,1/25/2023
1007218,USA,Female,Android,B,TRUE,$87.99,1/26/2023
1028348,BRA,Female,Android,B,TRUE,$87.90,1/28/2023
1041762,CAN,Female,Android,B,TRUE,$87.89,1/27/2023
1033487,BRA,Female,Iphone,B,TRUE,$87.36,1/26/2023
1024588,BRA,Female,Iphone,B,TRUE,$87.00,2/6/2023
1021197,MEX,Female,Iphone,B,TRUE,$86.92,1/28/2023
1046638,GBR,Female,Android,B,TRUE,$86.90,2/3/2023
1012822,USA,Female,Iphone,B,TRUE,$86.88,1/25/2023
1012016,ESP,Female,Android,B,TRUE,$86.58,2/6/2023
1018309,TUR,Female,Iphone,B,TRUE,$86.38,1/26/2023
1009599,BRA,Female,Iphone,B,TRUE,$86.33,1/25/2023
1022747,DEU,Female,Android,B,TRUE,$86.27,1/26/2023
1007674,USA,Female,Android,B,TRUE,$86.18,1/28/2023
1028489,BRA,Female,Iphone,B,TRUE,$85.98,1/25/2023
1049973,MEX,Female,Android,B,TRUE,$85.93,1/27/2023
1005312,CAN,Female,Android,B,TRUE,$85.32,1/27/2023
1019707,MEX,Female,Android,B,TRUE,$85.05,1/31/2023
1021706,TUR,Female,Android,B,TRUE,$84.55,1/26/2023
1019755,BRA,Female,Android,B,TRUE,$84.37,1/31/2023
1003616,DEU,Female,Android,B,TRUE,$84.20,1/26/2023
1033831,USA,Female,Android,B,TRUE,$83.88,1/25/2023
1015481,MEX,Female,Android,B,TRUE,$83.25,1/29/2023
1039175,BRA,Female,Android,B,TRUE,$83.08,1/27/2023
1036788,USA,Female,Iphone,B,TRUE,$82.73,2/3/2023
1021366,ESP,Female,Iphone,B,TRUE,$82.60,2/3/2023
1038396,n/a,Female,Iphone,B,TRUE,$82.37,1/30/2023
1037680,DEU,Female,Android,B,TRUE,$81.77,2/4/2023
1024291,CAN,Female,Android,B,TRUE,$80.62,1/29/2023
1008419,DEU,Female,Iphone,B,TRUE,$80.57,2/3/2023
1026097,BRA,Female,Android,B,TRUE,$79.91,2/6/2023
1002814,USA,Female,Iphone,B,TRUE,$78.81,1/31/2023
1000908,GBR,Female,Iphone,B,TRUE,$78.70,1/26/2023
1008817,USA,Female,Iphone,B,TRUE,$78.42,2/5/2023
1014807,USA,Female,Iphone,B,TRUE,$78.18,1/25/2023
1038336,MEX,Female,Iphone,B,TRUE,$77.63,1/25/2023
1025477,USA,Female,Iphone,B,TRUE,$76.66,1/30/2023
1015387,BRA,Female,Iphone,B,TRUE,$76.60,1/28/2023
1044036,USA,Female,Iphone,B,TRUE,$76.29,1/25/2023
1032165,USA,Female,Iphone,B,TRUE,$75.93,1/27/2023
1006774,USA,Female,Android,B,TRUE,$75.51,1/25/2023
1024908,MEX,Female,Iphone,B,TRUE,$75.19,1/26/2023
1045082,TUR,Female,Iphone,B,TRUE,$75.16,1/25/2023
1043302,USA,Female,Iphone,B,TRUE,$75.00,2/4/2023
1005162,MEX,Female,Android,B,TRUE,$74.95,1/26/2023
1013747,USA,Female,Iphone,B,TRUE,$74.76,1/30/2023
1001949,BRA,Female,Android,B,TRUE,$74.71,1/25/2023
1023109,TUR,Female,Iphone,B,TRUE,$74.51,1/25/2023
1010975,BRA,Female,Android,B,TRUE,$74.33,1/30/2023
1001500,USA,Female,Iphone,B,TRUE,$74.22,1/31/2023
1011593,USA,Female,Iphone,B,TRUE,$73.30,1/27/2023
1027442,USA,Female,Iphone,B,TRUE,$73.19,1/31/2023
1018296,FRA,Female,Android,B,TRUE,$72.84,1/25/2023
1029973,USA,Female,Android,B,TRUE,$72.43,1/25/2023
1018480,USA,Female,Android,B,TRUE,$72.32,1/25/2023
1043953,USA,Female,Iphone,B,TRUE,$72.06,1/29/2023
1005100,BRA,Female,Iphone,B,TRUE,$71.97,1/25/2023
1004743,MEX,Female,Android,B,TRUE,$71.80,2/6/2023
1027728,AUS,Female,Iphone,B,TRUE,$71.17,1/26/2023
1008689,BRA,Female,Android,B,TRUE,$71.05,1/25/2023
1044284,BRA,Female,Android,B,TRUE,$70.78,2/2/2023
1034168,DEU,Female,Android,B,TRUE,$70.46,1/26/2023
1033211,USA,Female,Android,B,TRUE,$69.87,1/25/2023
1001424,FRA,Female,Android,B,TRUE,$69.73,1/26/2023
1030941,TUR,Female,Iphone,B,TRUE,$69.61,1/25/2023
1027529,CAN,Female,Iphone,B,TRUE,$69.52,2/4/2023
1000635,ESP,Female,Iphone,B,TRUE,$69.21,1/25/2023
1019563,BRA,Female,Iphone,B,TRUE,$69.09,1/28/2023
1036466,GBR,Female,Android,B,TRUE,$69.04,2/4/2023
1025743,USA,Female,Iphone,B,TRUE,$67.99,2/4/2023
1032380,USA,Female,Iphone,B,TRUE,$67.92,1/31/2023
1018945,USA,Female,Iphone,B,TRUE,$67.77,1/27/2023
1047136,MEX,Female,Iphone,B,TRUE,$67.68,1/26/2023
1039688,FRA,Female,Iphone,B,TRUE,$67.63,1/27/2023
1016925,USA,Female,Iphone,B,TRUE,$67.46,1/26/2023
1003376,CAN,Female,Android,B,TRUE,$67.36,1/25/2023
1018136,USA,Female,Android,B,TRUE,$67.31,1/28/2023
1031305,BRA,Female,Iphone,B,TRUE,$67.24,1/25/2023
1033734,USA,Female,Android,B,TRUE,$66.86,2/1/2023
1027076,GBR,Female,Iphone,B,TRUE,$66.80,1/25/2023
1024218,BRA,Female,Iphone,B,TRUE,$66.29,1/26/2023
1015415,USA,Female,Iphone,B,TRUE,$66.15,1/25/2023
1020962,USA,Female,Iphone,B,TRUE,$65.39,2/1/2023
1016402,GBR,Female,Android,B,TRUE,$65.25,1/25/2023
1004746,TUR,Female,Android,B,TRUE,$64.58,2/5/2023
1037475,USA,Female,Iphone,B,TRUE,$63.83,1/25/2023
1022629,CAN,Female,Android,B,TRUE,$63.68,1/26/2023
1004774,USA,Female,Android,B,TRUE,$63.59,2/3/2023
1011418,FRA,Female,Android,B,TRUE,$63.33,2/1/2023
1046059,BRA,Female,Iphone,B,TRUE,$63.27,1/25/2023
1027928,DEU,Female,Iphone,B,TRUE,$62.85,1/27/2023
1045677,USA,Female,Android,B,TRUE,$62.51,1/25/2023
1012723,FRA,Female,Iphone,B,TRUE,$62.35,1/31/2023
1010155,USA,Female,Iphone,B,TRUE,$62.18,1/25/2023
1040722,GBR,Female,Android,B,TRUE,$62.09,1/30/2023
1009633,USA,Female,Iphone,B,TRUE,$61.91,1/25/2023
1038280,USA,Female,Android,B,TRUE,$61.73,1/29/2023
1022619,USA,Female,Android,B,TRUE,$61.51,1/25/2023
1010496,USA,Female,Android,B,TRUE,$61.12,1/28/2023
1049766,FRA,Female,Android,B,TRUE,$61.07,2/5/2023
1010769,TUR,Female,Android,B,TRUE,$60.78,1/25/2023
1023504,USA,Female,Iphone,B,TRUE,$60.71,1/29/2023
1035542,ESP,Female,Iphone,B,TRUE,$60.52,2/2/2023
1047193,DEU,Female,Iphone,B,TRUE,$60.44,1/25/2023
1016793,TUR,Female,Android,B,TRUE,$60.41,1/30/2023
1005159,BRA,Female,Android,B,TRUE,$60.23,1/28/2023
1013098,USA,Female,Android,B,TRUE,$60.18,1/27/2023
1037954,USA,Female,Iphone,B,TRUE,$60.17,1/28/2023
1023306,USA,Female,Android,B,TRUE,$60.00,1/25/2023
1006224,MEX,Female,Android,B,TRUE,$59.97,2/4/2023
1038005,BRA,Female,Android,B,TRUE,$59.91,1/25/2023
1023462,BRA,Female,Android,B,TRUE,$59.81,1/26/2023
1017303,BRA,Female,Android,B,TRUE,$59.79,1/31/2023
1043134,ESP,Female,Iphone,B,TRUE,$59.79,1/26/2023
1016001,MEX,Female,Android,B,TRUE,$59.65,1/27/2023
1030986,TUR,Female,Iphone,B,TRUE,$59.59,1/30/2023
1043497,USA,Female,Iphone,B,TRUE,$59.27,1/31/2023
1031736,USA,Female,Iphone,B,TRUE,$59.24,2/3/2023
1047124,USA,Female,Android,B,TRUE,$59.18,1/28/2023
1008665,DEU,Female,Android,B,TRUE,$58.90,2/6/2023
1032843,USA,Female,Iphone,B,TRUE,$58.83,1/26/2023
1014224,USA,Female,Android,B,TRUE,$58.61,1/27/2023
1005662,USA,Female,Iphone,B,TRUE,$58.10,1/31/2023
1011858,BRA,Female,Iphone,B,TRUE,$58.05,1/25/2023
1009293,MEX,Female,Iphone,B,TRUE,$57.91,2/5/2023
1045426,CAN,Female,Iphone,B,TRUE,$57.73,1/26/2023
1027750,USA,Female,Android,B,TRUE,$57.49,1/26/2023
1028967,BRA,Female,Iphone,B,TRUE,$57.34,1/27/2023
1034444,MEX,Female,Iphone,B,TRUE,$57.10,1/27/2023
1016724,FRA,Female,Iphone,B,TRUE,$57.03,1/26/2023
1004042,DEU,Female,Android,B,TRUE,$56.62,1/27/2023
1016583,DEU,Female,Android,B,TRUE,$56.42,1/25/2023
1045454,MEX,Female,Iphone,B,TRUE,$56.32,1/25/2023
1037587,CAN,Female,Android,B,TRUE,$56.02,1/25/2023
1008347,USA,Female,Android,B,TRUE,$56.01,1/25/2023
1013300,USA,Female,Android,B,TRUE,$56.01,1/25/2023
1006030,DEU,Female,Android,B,TRUE,$55.99,1/28/2023
1046994,MEX,Female,Iphone,B,TRUE,$55.73,1/25/2023
1012381,BRA,Female,Iphone,B,TRUE,$55.72,1/27/2023
1013188,USA,Female,Android,B,TRUE,$55.30,1/26/2023
1007936,USA,Female,Iphone,B,TRUE,$55.27,1/25/2023
1048483,BRA,Female,Iphone,B,TRUE,$54.22,2/2/2023
1026189,USA,Female,Iphone,B,TRUE,$53.97,1/25/2023
1047911,BRA,Female,Iphone,B,TRUE,$53.70,1/25/2023
1021801,FRA,Female,Android,B,TRUE,$53.58,1/25/2023
1017600,MEX,Female,Android,B,TRUE,$53.19,2/6/2023
1049415,USA,Female,Iphone,B,TRUE,$53.14,1/29/2023
1000185,MEX,Female,Iphone,B,TRUE,$53.07,2/4/2023
1036842,USA,Female,Android,B,TRUE,$52.96,1/26/2023
1020698,BRA,Female,Iphone,B,TRUE,$52.88,1/27/2023
1023283,USA,Female,Android,B,TRUE,$52.70,1/27/2023
1021339,ESP,Female,Android,B,TRUE,$52.69,1/26/2023
1027740,USA,Female,Iphone,B,TRUE,$52.69,1/27/2023
1001767,MEX,Female,Android,B,TRUE,$52.49,2/5/2023
1046431,USA,Female,Android,B,TRUE,$52.48,1/25/2023
